valuedatetime,Month,datavalue,dataqualitycode,variable,units,sitecode,sitename,,,,Year
5/24/2018 8:30,5,14.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 8:45,5,14.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 9:00,5,14.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 9:15,5,14.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 9:30,5,14.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 9:45,5,14.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 10:00,5,13.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 10:15,5,13.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 10:30,5,13.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 10:45,5,14.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 11:00,5,14.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 11:15,5,14.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 11:30,5,14.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 11:45,5,15.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 12:00,5,15.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 12:15,5,15.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 12:30,5,15.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 12:45,5,15.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 13:00,5,15.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 13:15,5,15.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 13:30,5,15.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 13:45,5,15.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 14:00,5,15.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 14:15,5,16.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 14:30,5,16.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 14:45,5,16.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 15:00,5,16.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 15:15,5,16.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 15:30,5,16.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 15:45,5,16.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 16:00,5,17.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 16:15,5,17.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 16:30,5,17.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 16:45,5,17.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 17:00,5,17.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 17:15,5,17.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 17:30,5,17.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 17:45,5,17.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 18:00,5,17.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 18:15,5,17,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 18:30,5,16.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 18:45,5,16.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 19:00,5,16.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 19:15,5,16.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 19:30,5,16.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 19:45,5,16.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 20:00,5,16.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 20:15,5,16,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 20:30,5,15.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 20:45,5,15.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 21:00,5,15.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 21:15,5,15.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 21:30,5,15,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 21:45,5,14.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 22:00,5,14.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 22:15,5,14.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 22:30,5,14.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 22:45,5,14.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 23:00,5,14.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 23:15,5,14.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 23:30,5,14.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/24/2018 23:45,5,14.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 0:00,5,14.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 0:15,5,15.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 0:30,5,15.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 0:45,5,15.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 1:00,5,15.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 1:15,5,15.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 1:30,5,15.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 1:45,5,15.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 2:00,5,15.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 2:15,5,15.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 2:30,5,15.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 2:45,5,15.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 3:00,5,15.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 3:15,5,16.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 3:30,5,16.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 3:45,5,16.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 4:00,5,15.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 4:15,5,16.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 4:30,5,15.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 4:45,5,15.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 5:00,5,15.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 5:15,5,15.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 5:30,5,15.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 5:45,5,16.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 6:00,5,16.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 6:15,5,16.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
5/25/2018 6:30,5,16.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
